id,Precio_cat
4820,5
4821,2
4822,1
4823,3
4824,1
4825,1
4826,4
4827,5
4828,4
4829,4
4830,3
4831,4
4832,1
4833,3
4834,4
4835,3
4836,1
4837,5
4838,5
4839,1
4840,1
4841,1
4842,1
4843,3
4844,2
4845,3
4846,5
4847,3
4848,4
4849,3
4850,3
4851,3
4852,4
4853,5
4854,2
4855,3
4856,4
4857,1
4858,3
4859,1
4860,3
4861,3
4862,5
4863,2
4864,2
4865,3
4866,4
4867,3
4868,3
4869,5
4870,2
4871,4
4872,5
4873,1
4874,2
4875,2
4876,5
4877,1
4878,2
4879,1
4880,5
4881,2
4882,4
4883,3
4884,1
4885,2
4886,4
4887,1
4888,5
4889,3
4890,4
4891,5
4892,3
4893,3
4894,3
4895,5
4896,3
4897,4
4898,4
4899,4
4900,2
4901,3
4902,2
4903,3
4904,3
4905,2
4906,5
4907,2
4908,3
4909,2
4910,3
4911,4
4912,3
4913,1
4914,4
4915,1
4916,5
4917,5
4918,2
4919,1
4920,3
4921,3
4922,3
4923,5
4924,3
4925,5
4926,1
4927,3
4928,3
4929,1
4930,5
4931,1
4932,1
4933,1
4934,5
4935,5
4936,5
4937,3
4938,1
4939,3
4940,2
4941,3
4942,5
4943,5
4944,5
4945,3
4946,1
4947,1
4948,1
4949,5
4950,2
4951,2
4952,5
4953,5
4954,2
4955,1
4956,1
4957,1
4958,3
4959,2
4960,3
4961,2
4962,1
4963,5
4964,3
4965,1
4966,5
4967,2
4968,4
4969,3
4970,5
4971,5
4972,5
4973,3
