id,Nombre,Ciudad,Año,Kilometros,Combustible,Tipo_marchas,Mano,Consumo,Motor_CC,Potencia,Asientos,Descuento,Precio_cat
1,Maruti Swift Dzire ZDI,G,2012,83000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,3
2,Maruti Wagon R LXI Optional,I,2016,4800,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,3
3,Mahindra KUV 100 mFALCON D75 K8,F,2016,26000,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,3
4,Hyundai i20 1.2 Magna,E,2013,56127,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,3
5,Honda Jazz 1.2 SV i VTEC,H,2017,41981,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,3
6,Maruti Swift Ldi BSIV,C,2009,140000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,5.0,,2
7,Maruti Swift Dzire VDI,G,2014,75074,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,3
8,Honda City 1.5 V AT,J,2011,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5.0,,3
9,Hyundai i20 1.2 Asta Option,E,2017,26185,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,4
10,Maruti Swift VDI BSIV,L,2017,49224,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,3
11,Ford Endeavour 3.2 Titanium AT 4X4,B,2016,29000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7.0,,5
12,Toyota Innova 2.5 ZX Diesel 7 Seater,H,2015,,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,4
13,Maruti Swift Dzire VXi,C,2008,56230,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,2
14,Honda Amaze S i-Dtech,I,2013,46992,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3
15,Audi A4 35 TDI Premium Plus,E,2014,28469,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5.0,53.14,5
16,Mercedes-Benz E-Class 230 E AT,B,2008,77000,Petrol,Automatic,Second,10.0 kmpl,2496 CC,157.7 bhp,5.0,,3
17,Toyota Fortuner 3.0 Diesel,K,2012,100000,Diesel,Manual,Third,11.5 kmpl,2982 CC,171 bhp,7.0,,5
18,Maruti Swift Dzire VXI,C,2016,32000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,3
19,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,J,2014,42000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,,5
20,Audi Q5 2.0 TDI Technology,F,2014,50000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,,5
21,Chevrolet Beat LT,H,2016,60813,Petrol,Manual,Second,18.6 kmpl,1199 CC,76.8 bhp,5.0,,3
22,Hyundai Verna 1.4 CX VTVT,I,2014,19000,Petrol,Manual,First,17.43 kmpl,1396 CC,105.5 bhp,5.0,,3
23,Honda City i VTEC CVT VX,F,2017,12538,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,4
24,Mahindra Logan Petrol 1.4 GLE,B,2010,93000,Petrol,Manual,First,15.7 kmpl,1390 CC,75 bhp,5.0,,1
25,Mahindra XUV500 AT W10 FWD,E,2018,24500,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,,5
26,Toyota Corolla Altis D-4D G,H,2013,81504,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,5.0,,3
27,Renault Scala Diesel RxL,I,2013,40000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,3
28,Maruti Ciaz ZXi,I,2015,25470,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,3
29,Maruti Omni 8 Seater BSIV,F,2015,52950,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,2
30,Toyota Innova 2.5 VX (Diesel) 7 Seater,F,2010,109000,Diesel,Manual,Second,12.99 kmpl,2494 CC,100.6 bhp,7.0,,4
31,,D,2015,54000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,,5
32,Maruti Dzire VDI,I,2015,28193,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,8.36,3
33,Mahindra Bolero SLE,F,2012,75000,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7.0,10.32,3
34,Honda City i DTEC VX,I,2014,37298,Diesel,Manual,First,,1498 CC,98.6 bhp,5.0,,3
35,Maruti S Cross DDiS 200 Alpha,K,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,4
36,Hyundai i10 Sportz,D,2012,70000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2
37,Hyundai i20 2015-2017 1.4 Magna ABS,C,2012,64000,,Manual,First,21.9 kmpl,1396 CC,90 bhp,5.0,,3
38,Toyota Innova 2.5 G (Diesel) 8 Seater,D,2014,194000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,4
39,Chevrolet Enjoy 1.3 TCDi LS 8,I,2015,50000,Diesel,Manual,First,,1248 CC,73.74 bhp,8.0,,3
40,Tata Zest Quadrajet 1.3 75PS XE,C,2018,45000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5.0,8.34,3
41,Toyota Etios Liva GD,B,2011,74000,Diesel,Manual,First,23.59 kmpl,1364 CC,,5.0,,3
42,Maruti Ertiga VXI CNG,B,2016,65263,CNG,Manual,First,17.5 kmpl,1373 CC,80.46 bhp,7.0,,4
43,Tata Zest Revotron 1.2T XE,J,2017,47000,Petrol,Manual,Second,17.57 kmpl,1193 CC,88.7 bhp,5.0,6.62,3
44,Hyundai i20 Asta 1.4 CRDi,H,2015,46950,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5.0,,3
45,Honda Mobilio S i VTEC,B,2014,43081,Petrol,Manual,First,17.3 kmpl,1497 CC,117.3 bhp,7.0,,3
,Hyundai Verna 1.6 SX,,2012,117837,Diesel,Manual,Second,22.32 kmpl,,126.32 bhp,5.0,,3
47,Hyundai Grand i10 1.2 Kappa Sportz,E,2014,33496,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.45,3
48,Maruti Alto 800 2016-2019 LXI,,2016,35000,Petrol,Manual,First,24.7 kmpl,796 CC,,5.0,,2
49,Hyundai Grand i10 CRDi Sportz,I,2014,25135,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,3
50,Mercedes-Benz E-Class 280 CDI,H,2009,80464,Diesel,Automatic,Second,11.0 kmpl,2987 CC,198.5 bhp,5.0,,4
51,Maruti Wagon R LXI,C,2006,52000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,,1
52,Hyundai Creta 1.6 SX Plus Petrol Automatic,L,2017,25000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,,4
53,Volkswagen Polo 1.2 MPI Comfortline,J,2013,63000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,,3
54,Mahindra Quanto C8,I,2013,36000,Diesel,Manual,First,17.21 kmpl,1493 CC,100 bhp,7.0,,3
55,Mahindra Bolero VLX CRDe,E,2012,60271,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,7.0,,3
56,Maruti Swift VDI,C,2018,30000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,3
57,Maruti Swift Dzire AMT ZDI,G,2016,54897,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5.0,,4
58,Toyota Etios Liva GD,,2012,225000,,Manual,Second,23.59 kmpl,1364 CC,,5.0,,2
59,Jaguar XF Diesel,K,2013,75000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,,5
60,Tata Tiago 1.2 Revotron XZ,E,2018,9565,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5.0,6.59,3
61,Maruti Swift LXI,C,,32953,Petrol,Manual,First,18.6 kmpl,1197 CC,,,,3
62,Toyota Corolla Altis 2008-2013 1.8 VL AT,B,2008,78000,Petrol,Automatic,Second,14.53 kmpl,1794 CC,138.1 bhp,5.0,,3
63,Maruti Wagon R VXI 1.2,B,2015,55000,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,5.0,5.88,2
64,Hyundai Grand i10 Asta,I,2015,15305,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,3
65,Land Rover Discovery 4 TDV6 SE,J,2013,65000,,Automatic,Second,11.8 kmpl,2993 CC,180 bhp,7.0,,5
66,Audi Q3 35 TDI Quattro Premium,D,2015,28000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,5
67,Porsche Cayenne Diesel,E,2015,,Diesel,Automatic,First,16.12 kmpl,2967 CC,245 bhp,5.0,,5
68,Honda City V MT Exclusive,H,2019,5377,Petrol,Manual,First,,1497 CC,116.3 bhp,5.0,,4
69,Audi A4 2.0 TDI 177 Bhp Premium Plus,H,2014,77395,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,4
70,Toyota Fortuner 3.0 Diesel,F,2013,63455,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,5
71,Renault Duster 85PS Diesel RxL,F,2014,77500,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,3
72,Hyundai Verna 1.6 SX VTVT (O) AT,E,2012,54957,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5.0,,3
73,Maruti Alto 800 VXI,E,2016,18043,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,3
74,Skoda Superb Elegance 1.8 TSI AT,J,2014,65000,Petrol,Automatic,First,13.7 kmpl,1798 CC,,5.0,,4
75,BMW 3 Series Luxury Line,L,2016,27000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,,5
76,Toyota Etios VD,D,2012,48000,Diesel,Manual,First,23.59 kmpl,,67.05 bhp,5.0,,3
77,Nissan X-Trail SLX MT,C,2010,,Diesel,Manual,Second,14.42 kmpl,1995 CC,147.6 bhp,5.0,,3
78,Tata Tiago AMT 1.2 Revotron XZA,E,2019,15379,Petrol,Automatic,First,23.84 kmpl,1199 CC,83.83 bhp,5.0,7.17,3
79,Mahindra XUV500 W8 4WD,K,2013,52910,Diesel,Manual,Second,15.1 kmpl,2179 CC,140 bhp,7.0,,4
80,Maruti Alto K10 VXI,C,2017,30000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.48,3
81,Skoda Rapid 1.5 TDI AT Elegance,E,2016,46630,Diesel,Automatic,First,21.66 kmpl,1498 CC,,5.0,,4
82,Mercedes-Benz GLA Class 200 CDI SPORT,J,2015,48000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,,5
83,Ford EcoSport 1.5 TDCi Titanium,H,2018,37160,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,4
84,Fiat Linea T Jet,E,2013,60283,Petrol,Manual,First,14.6 kmpl,1368 CC,112 bhp,5.0,,2
85,Mercedes-Benz New C-Class 200 Kompressor,F,2010,65000,Petrol,Manual,Second,11.7 kmpl,1796 CC,178 bhp,5.0,,4
86,Hyundai i10 Sportz,H,2016,21456,,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3
87,Maruti Swift Dzire LXI,I,2015,107000,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5.0,,3
88,Maruti Baleno LXI,F,2005,92450,Petrol,Manual,First,15.4 kmpl,1590 CC,94 bhp,5.0,,1
89,Hyundai i10 Era 1.1,I,2008,55410,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,1
90,Maruti Swift ZDi,L,2013,58653,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,3
91,Mercedes-Benz New C-Class C 220 CDI Avantgarde,E,2017,26493,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,,5
92,Hyundai Verna VTVT 1.6 AT EX,C,2013,37086,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,,3
93,BMW 3 Series 320d Prestige,C,2013,71000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,5
94,,J,2014,80000,Diesel,Manual,First,14.0 kmpl,2179 CC,138.1 bhp,7.0,,3
95,Hyundai Verna 1.6 CRDI,I,2014,32000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,,3
96,Tata Indica Vista Aqua 1.3 Quadrajet,F,2014,133944,Diesel,Manual,Second,18.0 kmpl,1248 CC,75 bhp,5.0,,3
97,Skoda Laura Ambition 2.0 TDI CR MT,F,2011,84062,Diesel,Manual,First,20.0 kmpl,1968 CC,108.5 bhp,5.0,,3
,BMW 3 Series 320i,C,2009,40000,Petrol,Automatic,Second,12.05 kmpl,1995 CC,154 bhp,,,4
99,Skoda Fabia 1.2 TDI Ambition,I,2012,98000,Diesel,Manual,First,20.86 kmpl,1199 CC,73.9 bhp,5.0,,2
100,Audi Q7 3.0 TDI Quattro Technology,H,2018,,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,,5
101,BMW 5 Series 520d Sedan,B,2008,81000,Diesel,Automatic,Second,18.48 kmpl,,,,,4
102,Nissan Terrano XV Premium 110 PS,F,2013,85000,Diesel,Manual,First,,1461 CC,108.5 bhp,5.0,,4
103,Honda City 1.5 E MT,D,2011,80000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,,3
104,Maruti Swift VXI BSIII,L,2008,52000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5.0,,2
105,BMW X6 xDrive 40d M Sport,D,2016,25000,Diesel,Automatic,First,15.87 kmpl,2993 CC,308.43 bhp,5.0,,5
106,Hyundai Verna 1.6 VTVT,H,2017,37688,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,,4
107,Honda Jazz 1.2 VX i VTEC,B,2016,28500,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,3
108,Maruti Ertiga VDI,J,2014,54569,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,3
109,Maruti Swift Dzire VDi,C,2009,90000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,,2
110,Maruti Ertiga VXI,L,2012,25000,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,,3
111,Maruti Alto LXi,B,2008,26299,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,1
112,Mini Countryman Cooper D,G,2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5.0,,5
113,Honda Brio S MT,J,2014,30000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2
114,Hyundai Creta 1.6 CRDi SX,J,2017,44000,Diesel,Manual,First,19.67 kmpl,,126.2 bhp,5.0,,4
115,Tata Zest Revotron 1.2 XT,I,2015,7445,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,8.09,3
116,Hyundai i20 Sportz Option 1.2,E,2016,44238,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,3
117,Hyundai Grand i10 CRDi Sportz,F,2015,76362,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,3
118,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,C,2015,77000,Diesel,Manual,First,,2494 CC,100 bhp,8.0,,4
119,Toyota Fortuner 4x2 AT,C,2014,102000,Diesel,Automatic,Second,12.55 kmpl,2982 CC,168.5 bhp,7.0,,5
120,Hyundai Santro Xing XL eRLX Euro III,I,2007,43206,Petrol,Manual,First,17.0 kmpl,1086 CC,,5.0,,1
121,Honda Brio V MT,C,2013,50000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2
122,Maruti Swift ZDi,F,2016,55746,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,3
123,Hyundai Xcent 1.1 CRDi S,H,2017,32257,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,3
124,Honda Accord VTi-L AT,J,2009,65462,Petrol,Automatic,Third,11.1 kmpl,2354 CC,142 bhp,5.0,,3
125,BMW X5 X5 M,C,2015,69002,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,5.0,,5
126,Honda Jazz 1.5 VX i DTEC,F,2015,67000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,3
127,Renault Duster 85PS Diesel RxL,E,2015,65668,Diesel,Manual,First,19.87 kmpl,1461 CC,,5.0,,3
128,Volkswagen Polo 1.2 MPI Highline,B,2014,7000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,,3
129,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,D,2011,90000,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,4
130,Toyota Innova 2.5 G4 Diesel 8-seater,D,2005,128000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,3
131,Toyota Corolla Altis G,D,2008,86000,Petrol,Manual,Second,14.53 kmpl,1798 CC,138.1 bhp,5.0,,3
132,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,B,2008,70700,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8.0,,3
133,Hyundai EON 1.0 Magna Plus Option O,H,2017,30711,Petrol,Manual,First,20.3 kmpl,998 CC,68.05 bhp,5.0,,3
134,Honda Civic 2006-2010 1.8 V MT,E,2009,56927,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3
135,Skoda Rapid 1.6 MPI AT Style,H,2018,21488,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,5.0,,4
136,Hyundai Santro GLS I - Euro II,G,2009,89000,Petrol,Manual,Second,0.0 kmpl,999 CC,,5.0,,1
137,Mercedes-Benz New C-Class C 220 CDI Elegance AT,G,2014,41000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,,5
138,Mahindra NuvoSport N6,D,2017,29000,Diesel,Manual,Second,17.45 kmpl,1493 CC,100 bhp,7.0,10.52,3
139,Hyundai Verna VTVT 1.6 SX,I,2018,5000,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,11.19,4
140,Mahindra Scorpio 2.6 DX,D,2005,120000,Diesel,Manual,Second,12.7 kmpl,2609 CC,116.6 bhp,8.0,,2
141,Nissan Sunny 2011-2014 Diesel XL,H,2014,51553,Diesel,,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,3
142,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,H,2011,29813,Petrol,Automatic,Second,14.74 kmpl,1991 CC,181.03 bhp,5.0,,4
143,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,L,2013,94000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,,4
144,Tata Indica Vista Quadrajet LS,F,2014,67000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5.0,,2
145,Tata New Safari Dicor EX 4X2,I,2011,90000,Diesel,Manual,Second,13.93 kmpl,2179 CC,138.1 bhp,7.0,,2
146,Renault Duster 110PS Diesel RxZ AMT,K,2016,45000,Diesel,Automatic,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,15.05,4
147,Hyundai i20 Asta 1.2,E,2015,35441,Petrol,Manual,First,18.6 kmpl,1197 CC,,5.0,,3
148,BMW X5 3.0d,K,2009,90000,Diesel,Automatic,First,11.0 kmpl,2993 CC,235 bhp,5.0,,5
149,Maruti Vitara Brezza LDi,D,2016,45000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.12,3
150,Mahindra Scorpio VLX 4WD AIRBAG BSIV,G,2010,105000,Diesel,Manual,Second,12.05 kmpl,2179 CC,120 bhp,8.0,,3
151,Hyundai i20 Sportz Option,J,2013,48454,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,3
152,Ford Endeavour 3.2 Trend AT 4X4,D,2016,43000,Diesel,Automatic,First,,3198 CC,197.2 bhp,7.0,,5
153,Honda City i VTEC CVT VX,J,,,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,4
154,Hyundai i20 1.2 Sportz,F,2012,58000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,3
155,Volkswagen Vento Petrol Highline,C,2011,54211,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,,3
156,BMW 3 Series 320d Luxury Line,G,2013,62655,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,4
157,Honda City i-VTEC CVT VX,G,2017,35000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,14.67,4
158,Hyundai Grand i10 1.2 Kappa Asta,H,2017,,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.48,3
159,Mahindra Bolero SLX 2WD,K,2006,193000,Diesel,Manual,Third,13.6 kmpl,2523 CC,63 bhp,7.0,,2
160,Maruti Alto LXi BSII,C,2003,69966,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,1
